#;Date;Heure;Durée de trade ;Bot;Score;Symbol;Direction;Entry_Prix;Exit_Prix;PnL_Net;Exit_Raison;Notes;Notes 2;Total PnL;PNL Long;PNL Short;Total Long;Total Short;;;
28;01/01/2026;00:42;1d 6h;TOP 30;85,9;OPUSDT;SHORT;0,2720;0,2631;1,2453;TP;TP Unique touché;;;;;;;;;
29;01/01/2026;00:42;1d 1h;SWING;64;SEIUSDT;LONG;0,11491;0,11095;-1,0258;SL;;;;;;;;;;
30;01/01/2026;00:42;1d 5h;SWING;64;TIAUSDT;LONG;0,4695;0,4490;-1,3396;SL;;;;;;;;;;
31;01/01/2026;5:40;5h;DISCOVERY;80;ENAUSDT;SHORT;0,1985;0,2025;-0,6186;SL;;;;;;;;;;
32;01/01/2026;08:01;8h;DEGEN;88;AUCTIONUSDT;SHORT;5,278;5,358;-1,0915;SL;;;;;;;;;;
33;01/01/2026;08:23;6h;DISCOVERY;80;WLDUSDT;SHORT;0,4729;0,4839;-0,7029;SL;;;;;;;;;;
34;01/01/2026;11:45;10h;DISCOVERY;80;IRUSDT;SHORT;0,08189;0,07620;1,3518;TP;TP1 & TP2 Touchés;;;;;;;;;
35;01/01/2026;13:32;1h 30m;DEGEN;80;POLYXUSDT;SHORT;0,05466;0,05452;0,007;BE;Mis a BE après dépassement de la durée limite;Toujours dans la range SL - TP actuellement;;;;;;;;
36;01/01/2026;15:07;5h;DISCOVERY;90;WCTUSDT;SHORT;0,08143;0,08474;-0,8271;SL;;;;;;;;;;
37;01/01/2026;17:07;1h;DEGEN;82;ZKPUSDT;SHORT;0,13414;0,13171;0,508;TP;Coupure pour dépassement de la durée limite;;;;;;;;;
38;01/01/2026;20:41;6h;DEGEN;90;NIGHTUSDT;SHORT;0,08399;0,08647;-0,9143;SL;;;;;;;;;;
39;01/01/2026;23:02;3h;SWING;64;DOTUSDT;LONG;1,809;1,86;0,7807;TP;TP Unique touché;;;;;;;;;
40;01/01/2026;23:46;2m;TOP 30;92,6;DOGEUSDT;SHORT;0,12319;0,12591;-0,983;SL;;;;;;;;;;
41;02/01/2026;00:15;1h;TOP 30;85,6;DOTUSDT;SHORT;1,86;1,909;-1,0726;SL;;;;;;;;;;
42;02/01/2026;01:14;2h;DISCOVERY;80;CLOUSDT;SHORT;0,4523;0,4387;0,5566;TP;CHECK;;;;;;;;;
43;02/01/2026;01:38;12m;TOP 30;100;PEPEUSDT;SHORT;0,000004438;0,0000045270;-0,7879;SL;;;;;;;;;;
44;02/01/2026;03:51;14h;SWING;64;OPUSDT;LONG;0,2692;0,2909;2,346;TP;TP Unique touché;;;;;;;;;
45;02/01/2026;04:02;11h;SWING;64;NEARUSDT;LONG;1,5212;1,6175;1,7909;TP;TP Unique touché;;;;;;;;;
46;02/01/2026;06:26;5h;DISCOVERY;88;SQDUSDT;SHORT;0,08665;0,08628;0,0685;BE;Mis a BE après dépassement de la durée limite;;;;;;;;;
47;02/01/2026;13:52;2h 30m;TOP 30;98,4;PEPEUSDT;SHORT;0,0000051339;0,0000052232;-0,7348;SL;;;;;;;;;;
48;02/01/2026;17:49;3h 30m;TOP 30;86,2;PEPEUSDT;SHORT;0,0000052276;0,0000051459;0,5516;TP;TP1 Touché;;;;;;;;;
49;02/01/2026;17:49;19h;SWING;64;ADAUSDT;LONG;0,3436;0,3616;1,0023;TP;TP Unique touché;;;;;;;;;
50;02/01/2026;19:12;3h;DISCOVERY;80;PUMPUSDT;LONG;0,002199;0,002191;-0,0966;BE;?;;;;;;;;;
51;02/01/2026;20:01;3h;DEGEN;88;HUSDT;SHORT;0,17119;0,1764;-0,614;SL;;;;;;;;;;
