#;Date E;Heure E;Date S;Heure S;Durée de trade ;Bot;Score;Symbol;Direction;Entry_Prix;Exit_Prix;PnL_Net;Exit_Raison;Notes;Notes 2;Total PnL;PNL Long;PNL Short;Total Long;Total Short;PnL TPDe;PnL SLDe;PnL BE
139;22/01/2026;07:29;22/01/2026;08:15;0h 46m;DEGEN;80;DASHUSDT;SHORT;;;0,6487;TP;;;;;;;;;;
141;22/01/2026;10:10;22/01/2026;11:16;1h 6m;DEGEN;80;PUMPUSDT;LONG;;;-0,5876;SL;;;;;;;;;;
142;22/01/2026;11:16;22/01/2026;11:38;0h 22m;DEGEN;80;HYPEUSDT;LONG;;;-0,469;SL;;;;;;;;;;
3;13/01/2026;17:46;14/01/2026;06:10;12h 24m;MAJORS;85,1;SOLUSDT;LONG;;;3,5848;TP;TP1 & TP2 Touchés;;Total TP;Total SL;Total BE;Total TPDe;Total SLDe;Serait TP;Serait SL;
13;14/01/2026;12:17;15/01/2026;07:55;19h 38m;MAJORS;86,6;SOLUSDT;LONG;;;0,605;TPDe;Dépassement de durée limite;;PnL;-7,119;-7,4471;7,4006;-1,4504;;;
16;15/01/2026;01:42;15/01/2026;17:57;16h 15m;MAJORS;91,7;ETHUSDT;LONG;;;0,3281;TPDe;Dépassement de durée limite;;PnL LONG;-5,1726;-7,7659;2,6267;1,0939;;;
20;15/01/2026;16:11;15/01/2026;23:38;7h 27m;MAJORS;80,7;SOLUSDT;LONG;;;-1,2677;SL;;;;;;;;;;
29;16/01/2026;13:44;17/01/2026;09:35;19h 51m;MAJORS;88,9;ETHUSDT;SHORT;;;0,3188;TPDe;Dépassement de durée limite;;;;;;;;;
62;19/01/2026;07:52;19/01/2026;08:00;0h 8m;MAJORS;81,7;SOLUSDT;LONG;;;-1,73;SL;;;;;;;;;;
64;19/01/2026;07:57;19/01/2026;08:01;0h 4m;MAJORS;91,9;ETHUSDT;LONG;;;-1.2843;SL;;;;;;;;;;
94;20/01/2026;14:20;20/01/2026;16:35;2h 15m;MAJORS;95;ETHUSDT;LONG;;;-1,5827;SL;;;;;;;;;;
111;20/01/2026;16:37;21/01/2026;00:45;8h 8m;MAJORS;85,2;SOLUSDT;LONG;;;-1,8992;SL;;;;;;;;;;
124;21/01/2026;00:46;21/01/2026;20:12;19h 26m;MAJORS;95;SOLUSDT;LONG;;;-0,1177;BE;Dépassement de durée limite;;;;;;;;;
125;21/01/2026;00:44;21/01/2026;20:17;19h 33m;MAJORS;95;ETHUSDT;LONG;;;-2,9057;SL;;;;;;;;;;
135;22/01/2026;00:39;22/01/2026;01:14;0h 35m;MAJORS;95;ETHUSDT;LONG;;;-1,6872;SL;;;;;;;;;;
136;22/01/2026;00:44;22/01/2026;01:14;0h 30m;MAJORS;95;BTCUSDT;LONG;;;-1,0936;SL;;;;;;;;;;
21;16/01/2026;10:16;16/01/2026;13:36;3h 20m;DISCOVERY;80;PUMPUSDT;SHORT;;;-1,0307;SL;;;;;;;;;;
22;16/01/2026;18:21;16/01/2026;18:27;0h 6m;DISCOVERY;80;ICNTUSDT;SHORT;;;-0,6969;SL;;;;;;;;;;
25;16/01/2026;21:11;17/01/2026;00:39;3h 28m;DISCOVERY;NA;ZENUSDT;SHORT;;;-1,0232;SL;;;;;;;;;;
26;16/01/2026;19:20;17/01/2026;07:28;12h 8m;DISCOVERY;NA;HUSDT;SHORT;;;0,5879;TPDe;Dépassement de durée limite;;;;;;;;;
27;16/01/2026;14:30;17/01/2026;07:28;16h 58m;DISCOVERY;NA;ZECUSDT;LONG;;;0,2408;TPDe;Dépassement de durée limite;;;;;;;;;
28;16/01/2026;09:24;17/01/2026;07:28;22h 4m;DISCOVERY;NA;LITUSDT;SHORT;;;0,1558;TPDe;Dépassement de durée limite;;;;;;;;;
30;17/01/2026;09:20;17/01/2026;10:19;0h 59m;DISCOVERY;NA;METUSDT;LONG;;;0,5185;TP;TP1 Touché;;;;;;;;;
31;17/01/2026;10:59;17/01/2026;12:49;1h 50m;DISCOVERY;NA;CLOUSDT;SHORT;;;1,5266;TP;TP1 & TP2 Touchés;;;;;;;;;
32;17/01/2026;16:03;17/01/2026;16:48;0h 45m;DISCOVERY;NA;AXSUSDT;LONG;;;0,9031;TP;TP1 & TP2 Touchés;;;;;;;;;
35;16/01/2026;17:53;17/01/2026;19:14;25h 21m;DISCOVERY;NA;CHZUSDT;SHORT;;;-1,028;SL;;;;;;;;;;
36;17/01/2026;15:19;17/01/2026;19:26;4h 7m;DISCOVERY;NA;DASHUSDT;SHORT;;;0,523;TP;TP1 Touché;;;;;;;;;
37;17/01/2026;07:49;17/01/2026;19:32;11h 43m;DISCOVERY;NA;XMRUSDT;SHORT;;;-0,3133;SLDe;Dépassement de durée limite;;;;;;;;;
38;17/01/2026;11:46;17/01/2026;19:52;8h 6m;DISCOVERY;NA;PUMPUSDT;LONG;;;0,3304;TPDe;Dépassement de durée limite;;;;;;;;;
39;16/01/2026;10:54;17/01/2026;20:43;33h 49m;DISCOVERY;NA;ACHUSDT;SHORT;;;-0,9697;SL;Dépassement de durée limite;;;;;;;;;
40;17/01/2026;16:24;18/01/2026;00:50;8h 26m;DISCOVERY;NA;FARTCOINUSDT;LONG;;;-1,0492;SL;;;;;;;;;;
42;17/01/2026;17:05;18/01/2026;08:07;15h 2m;DISCOVERY;84,6;METUSDT;SHORT;;;1,6909;TP;TP1 & TP2 Touchés;;;;;;;;;
43;17/01/2026;12:52;18/01/2026;08:32;19h 40m;DISCOVERY;NA;IPUSDT;SHORT;;;1,2104;TP;TP1 & TP2 Touchés;;;;;;;;;
48;17/01/2026;14:08;18/01/2026;14:24;24h 16m;DISCOVERY;82,1;ZENUSDT;SHORT;;;0,1515;BE;Dépassement de durée limite;;;;;;;;;
50;17/01/2026;18:10;18/01/2026;17:10;23h 0m;DISCOVERY;93,4;AUSDT;SHORT;;;0,0752;BE;Dépassement de durée limite;;;;;;;;;
51;17/01/2026;16:07;18/01/2026;19:08;27h 1m;DISCOVERY;75;PROMUSDT;SHORT;;;0,9569;TP;TP1 & TP2 Touchés;;;;;;;;;
57;18/01/2026;18:32;19/01/2026;02:36;8h 4m;DISCOVERY;84;SLPUSDT;SHORT;;;-0,4709;SL;;;;;;;;;;
59;19/01/2026;01:01;19/01/2026;05:38;4h 37m;DISCOVERY;82,1;AXSUSDT;SHORT;;;-1,2412;SL;;;;;;;;;;
60;19/01/2026;01:48;19/01/2026;07:40;5h 52m;DISCOVERY;87,9;HYPEUSDT;SHORT;;;0,7758;TP;TP1 & TP2 Touchés;;;;;;;;;
63;18/01/2026;20:59;19/01/2026;08:01;11h 2m;DISCOVERY;80,5;GMTUSDT;SHORT;;;1,0024;TP;TP1 & TP2 Touchés;;;;;;;;;
71;19/01/2026;09:38;19/01/2026;17:43;8h 5m;DISCOVERY;80;ETCUSDT;LONG;;;0,0333;BE;Dépassement de durée limite;;;;;;;;;
72;19/01/2026;12:04;19/01/2026;20:09;8h 5m;DISCOVERY;90;HUSDT;LONG;;;0,0852;BE;Dépassement de durée limite;;;;;;;;;
76;19/01/2026;15:24;19/01/2026;23:46;8h 22m;DISCOVERY;88;CHZUSDT;SHORT;;;0,0435;BE;Dépassement de durée limite;;;;;;;;;
77;19/01/2026;22:30;20/01/2026;03:00;4h 30m;DISCOVERY;93,4;SANDUSDT;SHORT;;;0,0528;BE;;;;;;;;;;
78;19/01/2026;21:05;20/01/2026;08:01;10h 56m;DISCOVERY;90;BARDUSDT;LONG;;;0,0632;BE;Dépassement de durée limite;;;;;;;;;
82;19/01/2026;11:00;20/01/2026;11:00;24h 0m;DISCOVERY;80;BIOUSDT;LONG;;;1,2719;TP;TP1 & TP2 Touchés;;;;;;;;;
83;19/01/2026;16:15;20/01/2026;11:36;19h 21m;DISCOVERY;80;XPLUSDT;LONG;;;0,4682;TP;TP1 Touché;;;;;;;;;
85;20/01/2026;12:53;20/01/2026;12:58;0h 5m;DISCOVERY;80;SANDUSDT;LONG;;;0,0611;BE;;;;;;;;;;
89;20/01/2026;13:27;20/01/2026;15:28;2h 1m;DISCOVERY;80,6;ARCUSDT;LONG;;;0,5353;TPDe;Dépassement de durée limite;;;;;;;;;
98;20/01/2026;16:45;20/01/2026;18:50;2h 5m;DISCOVERY;89,1;ZECUSDT;SHORT;;;-0,8063;SL;;;;;;;;;;
99;20/01/2026;13:58;20/01/2026;19:58;6h 0m;DISCOVERY;94,1;BEATUSDT;SHORT;;;1,2529;TP;TP1 & TP2 Touchés;;;;;;;;;
